comment,keyword,emotion,sentiment
But how can you?... if you’re not-...,But how can you?... if you’re not-...,others,NEU
she missed the train to the North Pole 😳,missed,others,NEG
párese de verdad woow,verdad,surprise,POS
it’s cgi not a robot lmao,robot,others,NEU
ya me da miedo que creen robots para la actualidad,robots,others,NEU
FLIPO,flipo,others,NEU
para mi solo le editan la cara no es un robot,robot,others,NEU
Solo J Balvin Sabe Como Es En Realidad🤪,como,others,NEU
@ellabeihoi,ellabeihoi,others,NEU
that a god damn robot ai thing,robot,others,NEG
WAAAA I DONT GET IT! WHAT IS SHE?,waaaa,surprise,NEG
DIOS SIENTO QUE ESTOY EN ALGÚN SUEÑO TURBIO CON LOS GORILLAZ,estoy,others,NEU
@anairt_08 robot,anairt_08,others,NEU
@shanedawson this voice sounds familiar but I don’t know who .... 🥴,shanedawson,others,NEU
me es difícil saber qué es un robot pero párese sacada de un videojuego 😳,robot,others,NEU
cliche or glitch,cliche,others,NEU
You got an amazing voice🥰🥰,amazing,joy,POS
Lo hubieran echo más largo 🙄esta lindo el video 😌,echo,others,NEU
she's broken. someone put her in rice,rice,disgust,NEG
U just edit the face right,face,others,NEU
Un robot canta mejor que yo 😳,robot,others,NEU
Shane Shane we need u there is something wron@shanedawson,shanedawson,others,NEG
Look at her hand it’s got a different texture to her face,texture,others,NEU
I’m confused 🤔,confused,others,NEG
you are reboot?,reboot,others,NEU
Robot has a tiktok... @wiiseman,tiktok,others,NEU
@_lizia_king @_candy_girl_luv_ ეს გოგო არაა ხო ნამდვილი 😳😳,ნამდვილი,others,NEU
But how,But how,others,NEU
U just edit the face right,face,others,NEU
look how her hair moves that’s not natural,natural,surprise,NEG
You don’t look like a robot-,robot,others,NEU
you are reboot?,reboot,others,NEU
Okay so now a robot can sing better than me?,sing,others,NEU
@levarriacoston nice voice,voice,others,POS
@shellieashton scary,shellieashton,fear,NEG
Just a realistic android,android,others,NEU
I feel like u just have like a filter on or make up ahhhhhhhhhhh idk ;-;,filter,disgust,NEU
Ariana could never,ariana,others,NEU
@peachprc @ritalinprc Jesus I thought this was your voice!!!,peachprc,surprise,NEU
ok- but like i wanna know who was your actual bf. someone said it was a toaster 💀 can u plz tell us,bf,others,NEU
ur hands look real😳,hands,others,POS
Even a robot can sing better than me,sing,others,POS
OMG GURRLLLL u look and sound good,gurrllll,joy,POS
F the Refrigerator you deserve better🥺😭😭😭,refrigerator,others,NEU
wow❤️✨,wow,others,NEU
I KNOW EVERYONE IS TALKIN BOUT MALE SIRI N STUFF BUT PLEASE THE SONG IS A BOP,bop,joy,POS
I don’t believe a robot can do human stuff no offence but yah,robot,disgust,NEG
Where do you get your outfits ?😍,outfits,others,NEU
def ariana grandes voice,ariana,others,NEU
Are you an animation or a robot I’m confused no hate just curious,robot,others,NEU
do u date a robot to?,robot,others,NEU
notice that she's lip singing her own song,lip,others,NEU
🧐😢😱,🧐😢😱,others,NEU
The toaster is regretting that rn,toaster,others,NEG
def ariana grandes voice,ariana,others,NEU
do u date a robot to?,robot,others,NEU
wow even a robot can sing better then me🤦‍♀️😒,robot,surprise,POS
Google is such a jerk!🤬 its alright girl🥺💚,google,disgust,NEG
notice that she's lip singing her own song,lip,others,NEU
So fake😂,fake,disgust,NEG
🧐😢😱,🧐😢😱,others,NEU
@_meridethmartin_,_meridethmartin_,others,NEU
Do a face reveal,reveal,others,NEU
Do robots have feelings? 🤔,robots,others,NEU
U no robot it’s makeup 😂btw ur voice is amazing 🥰😉 🥰,robot,others,POS
Looks like the girl off of polar express,polar,others,NEU
Do you know who did your voice recordings?,recordings,others,NEU
@chloe.lord,chloe,others,NEU
wow ur voice is so damm amazing😻,voice,joy,POS
@alea_salvatore007 @so_xxa007 @mayo0073,alea_salvatore007,others,NEU
told u it was a filter she looks like a normal person now,filter,others,NEU
@evie508 the comments 😂,evie508,others,NEU
whats the song called😁,song,others,NEU
Damn she broke up with cortona,cortona,sadness,NEG
good singing wait arent u in the trailer the sims 5,singing,others,POS
Obviously edited ,edited,others,NEG
@_animeblush_,_animeblush_,others,NEU
you have a bf? was it a tv?,bf,others,NEU
omg,omg,surprise,NEU
How👏did👏you👏pass👏the👏robot👏test👏to👏get👏a👏ACCOUNT 👏,robot,others,NEU
@aidan._h._ bruh,aidan,others,NEU
she broke up with the microwave 😔,microwave,sadness,NEU
umm...it's Ariana grande!😳,ariana,others,POS
Are you sgi or a real robot no hate I love ur vids,robot,others,POS
ur hands look real😳,hands,others,POS
@peachprc @ritalinprc Jesus I thought this was your voice!!!,peachprc,surprise,NEU
F the Refrigerator you deserve better🥺😭😭😭,refrigerator,others,NEU
Ariana could never,ariana,others,NEU
Okay so now a robot can sing better than me?,sing,others,NEU
I feel like u just have like a filter on or make up ahhhhhhhhhhh idk ;-;,filter,disgust,NEU
def ariana grandes voice,ariana,others,NEU
I KNOW EVERYONE IS TALKIN BOUT MALE SIRI N STUFF BUT PLEASE THE SONG IS A BOP,bop,joy,POS
Even a robot can sing better than me,sing,others,POS
how could you male siri,siri,others,NEG
Looks like the girl off of polar express,polar,others,NEU
Ok but like why can you see the tendons moving in her hands/fingers?? And I doubt a robot could rhythmically tap their leg like that....😅😅,robot,surprise,NEU
oo,oo,others,NEU
Ariana grande? pop off,ariana,others,NEU
@aidan._h._ bruh,aidan,others,NEU
face travel show us who controls yu,face,others,NEU
😳😳,😳😳,others,NEU
how they make her look so real in some clips lol fr tho,real,others,NEU
It’s the fact that a robot sings better than me… for me,robot,others,NEU
@,@,others,NEU
what is the name of the song 😅,song,others,NEU
@kumora.b she’s a robot ..,robot,others,NEU
beautiful voice,beautiful,joy,POS
Ur voice so beautiful 🥰,voice,joy,POS
Good job 🥰,good,joy,POS
Can you cry?,Can you cry?,others,NEU
Who ever made u.... THEY ARE A GENIUS!! Because you got your self a fan and a family member in u side hun!❤️❤️❤️❤️❤️,self,joy,POS
She kinda sounds like Ariana grande,ariana,others,NEU
can you sing an any language????😏,sing,others,NEU
I mean every soory,mean,others,NEU
You have a beautiful voice,voice,joy,POS
what's the title?,title,others,NEU
I'm my opinion your a person robot or not your an amazing woman,robot,others,POS
Love your singing 🥺,singing,joy,POS
sounds like melanie martinez mix with hayley kiyoko,melanie,others,NEU
Nice A.I,nice,others,POS
Trading is a choice whether you do or you didn't dois up to you but I do advise you to trade with @enegetic_kairifx,trade,others,NEU
When a robot sings better than you 🥺lol,robot,others,POS
I like your voice😁,like,others,POS
your voice sounds amazing,voice,joy,POS
forget about siris big bro it's okay we got you,siris,others,NEU
It’s a person with the face of a robot,robot,others,NEG
thats cgi right?😳,cgi,others,NEU
@fnmeka this your girl,fnmeka,others,NEU
I’m so confused how did she-,confused,surprise,NEG
ofc he gave her a good voice,voice,others,POS
People that’s not a robot wats wrong with you,robot,others,NEG
dayyaaamm she's one heck of a great singer!,singer,joy,POS
Omg she is actually a robot 😮 or is there an editor?,robot,surprise,NEG
It is cgi people,cgi,others,NEU
robots have feelings too😳,robots,others,NEU
better than ✨one neigh 🐴✨ ngl,neigh,others,POS
small steps in making.,steps,others,NEU
i love herrr🥰❤️,love,joy,POS
Feel ssooooooo sorry for you🥺🥺,ssooooooo,sadness,NEG
You look so real and I m saying that in a good way 🥰🥰🥰,real,joy,POS
omg i love your voice!,voice,joy,POS
i feel like this isnt her song,song,others,NEU
Wait just let me now is it a robot or real?,robot,others,NEU
Os this her real face pr edit?😳,face,others,NEU
Where’s the comments 👹,comments,others,NEU
Damn robin can sibg better then me,robin,others,NEG
ITS a filter oml,filter,others,NEU
Who’s your boyfriend,boyfriend,others,NEU
Ur tall,tall,others,NEU
ok,ok,others,NEU
Excuse me a robot sings better than me,robot,others,NEU
I like your singing🤩,like,others,POS
She ain’t no robot,robot,others,NEU
Do a reallllll face reveal,reveal,others,NEU
Wait is she actually there?,actually,surprise,NEU
Lies😬,lies,disgust,NEG
You have feelings!!! 😳😳😳,feelings,others,NEU
how would you know how it feels to break up with someone,break,others,NEU
Wait is that u or an app,app,others,NEU
CHANGE YOUR Hair,hair,others,NEU
is she a real human are robot I don't no anymore,robot,others,NEG
Is no one gonna tall about her voice and song😳👏🏽,voice,others,NEU
u kind a sound like ariana grande,ariana,others,NEU
Someone gonna but her in rice she’s literally broken,rice,disgust,NEG
My sis broke up with her bf as well just now,sis,others,NEG
U look so realllll omg,realllll,others,POS
You so tall,tall,others,POS
Guys her hand look so realistic,hand,surprise,POS
Her clothes don’t looked edited for once,clothes,surprise,NEU
I swear this was the inspo when SM was creating Aespa 😩,aespa,others,NEU
Wait is this real like your not human?,real,surprise,NEU
Robots don’t have feelings...,robots,others,NEG
What song is it?,song,others,NEU
THe rOBOt CAN SING?,sing,others,NEU
confused,confused,others,NEU
Those hands thooo,hands,surprise,NEU
Do u have a feelings?,feelings,others,NEU
best song of u ❤️❤️❤️i’m obsessed,song,joy,POS
There is no doubt this is a person the animates over themselves,animates,disgust,NEG
damn what happened with you and the microwave,microwave,others,NEG
wow your voice is freaking BoTifUl,botiful,surprise,NEG
your human that’s enough,human,others,NEU
who thinks it's a face filter?😂,filter,others,NEU
Have u been real before?,real,others,NEU
Deep down I know she is a robot... but because of how realistic your creator made you my mind always tricks me into thinking you are real,robot,others,NEU
ALRIGHT GUYS! SHES REAL,real,joy,POS
Song?,song,others,NEU
is this a real song cause i wanna listen to it🥺🥺🥺🥺,song,others,NEU
Can u have your hair down?,hair,others,NEU
how was a robot in a relationship but not me,robot,others,NEU
this shows that u feel emotions n u do ryt,emotions,others,NEU
@mollie__t @kaceygray_xx this is confusing me,kaceygray_xx,others,NEG
bro how do you get the animation Wright it really look real,animation,surprise,NEU
come on guys it wasn't going to be anything that includes Google or Siri man😂,siri,disgust,NEU
💖,💖,others,NEU
if she's a robot how did she do that 😱😱😱,robot,others,NEU
I love your all song,song,joy,POS
idk why but in this vid she actually looks some what real,real,surprise,POS
watched the video good work👌👏,watched,joy,POS
she humn,humn,others,NEU
it’s a human body with an animated face i think,animated,others,NEU
WOW,wow,surprise,POS
when they invented you who's voice did they give you,voice,others,NEU
The face is so obvise!,face,others,POS
Guys she's real just has cgi over her face 😅,cgi,others,NEU
do you even have feels?,feels,others,NEU
Her style is impeccable.,impeccable,others,NEU
What?! You are A robot but your are real ?... I mean you walk at the street  you have a live? When I can see you?🥰,robot,others,NEU
SPEAK UP,speak,others,NEU
robots have no fellings,robots,others,NEU
im new but is this a filter? or a animation? bruhhhh,animation,surprise,NEU
Wait robots exist?,robots,others,NEU
😂,😂,others,NEU
she is real guys but from cgi ✨,cgi,others,NEU
It’s the robot filter but the real body for me,body,others,NEU
Not y’all hating at someone who’s not even real😭😭😭😭😭,hating,others,NEG
Where’s your shadow?,shadow,others,NEU
this is clearly edited her mouth doesn't match her singing,singing,disgust,NEG
I thought she was lesbian?(look at her first vid if ur confused),lesbian,others,NEU
Wait is your ex bf real?,real,surprise,NEU
your voice is good cuz someone programmed it to be,voice,others,POS
This isn’t her actual face like it’s photoshopped to look like this but it isn’t real I already seen a girl do this on fb and showed how etc.,photoshopped,others,NEU
everything else looks real but not just youre face,real,others,NEU
It’s. A filter,filter,others,NEU
Anyone notice how the hands look like a persons😳,hands,others,NEU
I’m so sorry male Siri she didn’t deserve you😔,siri,sadness,NEG
is she real,real,surprise,NEU
Why does this hard tho 😭 💀,hard,others,NEG
you real😳.....,real,others,NEU
@marta.lopato im confused,marta,others,NEG
so sorry. bit sing away 🥰,sing,others,NEG
do u speak french?,french,others,NEU
I love your voice its amazing,voice,joy,POS
I'm scared,scared,fear,NEG
It's CGI that sometimes use human body,cgi,others,NEU
Are you animated,animated,others,NEU
😳,😳,others,NEU
You sound kinda like Ariana grande,ariana,others,NEU
The refrigerator broke up with her,refrigerator,others,NEG
You’re real I think but I’m really scared about this..😳 I hope it comes not in the Netherlands😬😬,real,fear,NEG
Are you on a computer or someone can see you ?,computer,others,NEU
YOUR VOICE IS AMAZING,voice,joy,POS
Do you exist off Screen tho ?,exist,others,NEU
SHES SO GOOD-,shes,joy,POS
omg is this ur voice🥰,omg,surprise,NEU
Put ur hand over ur face,face,others,NEU
how can no one see this is an actual person with AI and graphics for the face.,face,others,NEG
He broke up with you cause u are not a human,human,disgust,NEG
robots dont have feels SUS 😬👀👁👄👁,robots,others,NEG
bruh your real,real,others,NEU
🥺🥺🥺🥺,🥺🥺🥺🥺,others,NEU
omg she broke up with male siri,siri,surprise,NEG
i think they make sombody sig that and then they put her head on it,sig,others,NEU
How is that a robot 😳,robot,others,NEU
the head is edited and the body’s not u can tell-,body,others,NEU
SIRI HOW U DO THAT TO HER,siri,surprise,NEG
Siri she’s Available Gooooo!,siri,others,POS
that is not her voice,voice,others,NEG
Oh,oh,others,NEU
tbh this song is my favorite and I really like your voice ♥️,song,joy,POS
even a robot can get a bf but I can't 👁️👄👁️,robot,disgust,NEG
She’s not a robot on this one look at the hands 😂,robot,others,NEU
this always in my ads,ads,others,NEG
how could you male siri,siri,others,NEG
SHES REAL LOOK AT HER HAND ON THE CHAIR,real,surprise,NEU
its a good song 😳,song,joy,POS
how does this look so real???,real,surprise,NEU
I don’t believe a robot can do human stuff no offence but yah,robot,disgust,NEG
You should say “am I eDgY now?”,edgy,others,NEU
F the Refrigerator you deserve better🥺😭😭😭,refrigerator,others,NEU
Oh I dont understand Are you a robot that have a life or ik a computer game? 😂🥰😁,robot,others,NEG
when cgi has a boyfriend,cgi,others,NEU
very much confused 😐,confused,others,NEG
HOW TALL YOU ARE?,tall,others,NEU
When a robot sings BETTER than u,robot,others,POS
okay but THE HANDS,hands,surprise,NEU
shes real if you dont look at her face,real,others,NEU
lets go swimming,swimming,others,NEU
What do you use to get this,use,others,NEU
even a robot can get a bf but I can't 👁️👄👁️,robot,disgust,NEG
this always in my ads,ads,others,NEG
SHES REAL LOOK AT HER HAND ON THE CHAIR,real,surprise,NEU
its a good song 😳,song,joy,POS
how does this look so real???,real,surprise,NEU
You should say “am I eDgY now?”,edgy,others,NEU
Oh I dont understand Are you a robot that have a life or ik a computer game? 😂🥰😁,robot,others,NEG
when cgi has a boyfriend,cgi,others,NEU
very much confused 😐,confused,others,NEG
HOW TALL YOU ARE?,tall,others,NEU
When a robot sings BETTER than u,robot,others,POS
okay but THE HANDS,hands,surprise,NEU
shes real if you dont look at her face,real,others,NEU
What do you use to get this,use,others,NEU
lets go swimming,swimming,others,NEU
@chicken_toenails bro this robo bish had a boyfriend??,boyfriend,disgust,NEG
Issue a robot or real,robot,others,NEU
you look so real omg,real,surprise,POS
